NU_ANO_CENSO,NO_REGIAO_IES,CO_REGIAO_IES,NO_UF_IES,SG_UF_IES,CO_UF_IES,NO_MUNICIPIO_IES,CO_MUNICIPIO_IES,IN_CAPITAL_IES,NO_MESORREGIAO_IES,CO_MESORREGIAO_IES,NO_MICRORREGIAO_IES,CO_MICRORREGIAO_IES,TP_ORGANIZACAO_ACADEMICA,TP_REDE,TP_CATEGORIA_ADMINISTRATIVA,IN_COMUNITARIA,IN_CONFESSIONAL,NO_MANTENEDORA,CO_MANTENEDORA,CO_IES,NO_IES,SG_IES,DS_ENDERECO_IES,DS_NUMERO_ENDERECO_IES,DS_COMPLEMENTO_ENDERECO_IES,NO_BAIRRO_IES,NU_CEP_IES,QT_TEC_TOTAL,QT_TEC_FUNDAMENTAL_INCOMP_FEM,QT_TEC_FUNDAMENTAL_INCOMP_MASC,QT_TEC_FUNDAMENTAL_COMP_FEM,QT_TEC_FUNDAMENTAL_COMP_MASC,QT_TEC_MEDIO_FEM,QT_TEC_MEDIO_MASC,QT_TEC_SUPERIOR_FEM,QT_TEC_SUPERIOR_MASC,QT_TEC_ESPECIALIZACAO_FEM,QT_TEC_ESPECIALIZACAO_MASC,QT_TEC_MESTRADO_FEM,QT_TEC_MESTRADO_MASC,QT_TEC_DOUTORADO_FEM,QT_TEC_DOUTORADO_MASC,IN_ACESSO_PORTAL_CAPES,IN_ACESSO_OUTRAS_BASES,IN_ASSINA_OUTRA_BASE,IN_REPOSITORIO_INSTITUCIONAL,IN_BUSCA_INTEGRADA,IN_SERVICO_INTERNET,IN_PARTICIPA_REDE_SOCIAL,IN_CATALOGO_ONLINE,QT_PERIODICO_ELETRONICO,QT_LIVRO_ELETRONICO,QT_DOC_TOTAL,QT_DOC_EXE,QT_DOC_EX_FEMI,QT_DOC_EX_MASC,QT_DOC_EX_SEM_GRAD,QT_DOC_EX_GRAD,QT_DOC_EX_ESP,QT_DOC_EX_MEST,QT_DOC_EX_DOUT,QT_DOC_EX_INT,QT_DOC_EX_INT_DE,QT_DOC_EX_INT_SEM_DE,QT_DOC_EX_PARC,QT_DOC_EX_HOR,QT_DOC_EX_0_29,QT_DOC_EX_30_34,QT_DOC_EX_35_39,QT_DOC_EX_40_44,QT_DOC_EX_45_49,QT_DOC_EX_50_54,QT_DOC_EX_55_59,QT_DOC_EX_60_MAIS,QT_DOC_EX_BRANCA,QT_DOC_EX_PRETA,QT_DOC_EX_PARDA,QT_DOC_EX_AMARELA,QT_DOC_EX_INDIGENA,QT_DOC_EX_COR_ND,QT_DOC_EX_BRA,QT_DOC_EX_EST,QT_DOC_EX_COM_DEFICIENCIA
2023,Sudeste,3,Minas Gerais,MG,31,Ouro Preto,3146107,0,Metropolitana de Belo Horizonte,7,Ouro Preto,33,1,1,1,0,0,UNIVERSIDADE FEDERAL DE OURO PRETO,6,6,UNIVERSIDADE FEDERAL DE OURO PRETO,UFOP,Rua Diogo de Vasconcelos,122,-,Centro,35400000.0,653,3,19,1,10,17,41,34,64,90,109,108,96,38,23,0,0,0,1,1,1,1,1,60,28957,910,861,353,508,0,0,16,76,769,852,799,53,9,0,2,36,163,205,161,100,109,85,425,26,158,5,3,244,859,2,0
2023,Sudeste,3,São Paulo,SP,35,São Carlos,3548906,0,Araraquara,5,São Carlos,25,1,1,1,0,0,FUNDACAO UNIVERSIDADE FEDERAL DE SAO CARLOS,1302,7,UNIVERSIDADE FEDERAL DE SÃO CARLOS,UFSCAR,Via Washington  Luis,Km 235,S/Nº,Monjolinho,13565905.0,933,12,21,7,9,6,37,60,78,168,156,144,105,72,58,1,0,1,1,0,1,1,1,0,0,1339,1339,596,743,0,2,3,52,1282,1285,1260,25,54,0,1,39,136,284,242,208,177,252,796,13,74,33,0,423,1310,29,7
2023,Sudeste,3,Minas Gerais,MG,31,Viçosa,3171303,0,Zona da Mata,12,Viçosa,62,1,1,1,0,0,UNIVERSIDADE FEDERAL DE VICOSA,15588,8,UNIVERSIDADE FEDERAL DE VIÇOSA,UFV,Av. P.H. Rolfs,s/n,Campus Universitário,Campus Universitário,36570000.0,1927,4,70,1,17,12,233,92,147,297,501,224,192,79,58,1,0,1,1,0,1,1,1,0,0,1302,1302,536,766,0,7,24,118,1153,1250,1169,81,52,0,32,97,210,299,205,128,146,185,967,24,259,17,5,30,1278,24,0
2023,Sudeste,3,Rio de Janeiro,RJ,33,Petrópolis,3303906,0,Metropolitana do Rio de Janeiro,6,Serrana,15,1,2,5,1,1,ASSOCIACAO FACULDADES CATOLICAS PETROPOLITANAS,15046,15,UNIVERSIDADE CATÓLICA DE PETRÓPOLIS,UCP,Rua Benjamin Constant,213,-,Centro,25610130.0,232,4,11,3,28,53,57,36,25,6,2,3,3,1,0,1,0,0,0,1,1,0,1,0,35328,154,154,60,94,0,0,4,84,66,52,0,52,47,55,0,5,18,24,32,19,22,34,140,4,10,0,0,0,152,2,4
2023,Sudeste,3,Minas Gerais,MG,31,Uberlândia,3170206,0,Triângulo Mineiro/Alto Paranaíba,5,Uberlândia,18,1,1,1,0,0,UNIVERSIDADE FEDERAL DE UBERLANDIA,9140,17,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,UFU,Avenida João Naves de Ávila,2121,-,Santa Mônica,38400902.0,2011,2,28,6,19,211,170,154,125,377,326,241,170,107,75,1,0,1,1,1,1,1,1,439,491609,1967,1920,849,1071,0,15,17,127,1761,1897,1684,213,23,0,24,110,283,409,375,258,231,230,1495,51,245,38,1,90,1891,29,18
2023,Sudeste,3,São Paulo,SP,35,Campinas,3509502,0,Campinas,7,Campinas,32,1,2,5,1,1,SOCIEDADE CAMPINEIRA DE EDUCACAO E INSTRUCAO,19,19,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE CAMPINAS,PUC-CAMPINAS,Rua Professor Doutor Euryclides de Jesus Zerbini,1516,Gleba 1 - QT. 06422 (PUC - Dom Pedro),Parque Rural Fazenda Santa Cândida,13087571.0,769,7,6,9,8,195,165,198,98,47,19,4,11,2,0,1,0,1,1,1,1,1,1,1693,25206,793,782,361,421,0,0,113,237,432,270,0,270,184,328,9,28,75,122,122,120,101,205,758,3,9,7,1,4,773,9,2
2023,Sudeste,3,São Paulo,SP,35,São Paulo,3550308,1,Metropolitana de São Paulo,15,São Paulo,61,1,2,5,1,1,INSTITUTO PRESBITERIANO MACKENZIE,22,22,UNIVERSIDADE PRESBITERIANA MACKENZIE,MACKENZIE,Rua da Consolação,896,Campus São Paulo,Consolação,1302907.0,2208,12,40,23,39,454,533,406,269,203,101,47,58,9,14,1,0,1,1,0,1,1,1,80925,29156,1081,1081,406,675,0,0,4,268,809,474,0,474,456,151,4,47,82,125,199,163,174,287,913,16,111,36,1,4,1048,33,27
2023,Sudeste,3,Rio de Janeiro,RJ,33,Rio de Janeiro,3304557,1,Metropolitana do Rio de Janeiro,6,Rio de Janeiro,18,3,1,1,0,0,FUNDACAO INSTIT BRAS DE GEOGRAFIA E ESTATISTICA IBGE,26,26,ESCOLA NACIONAL DE CIÊNCIAS ESTATÍSTICAS,ENCE,Rua André Cavalcanti,106,-,Santa Teresa,20231050.0,80,0,0,0,0,1,6,1,1,11,7,9,8,17,19,1,0,0,1,1,1,0,1,84,1517,33,33,16,17,0,0,0,5,28,29,2,27,4,0,0,1,3,7,8,7,3,4,22,1,4,1,1,4,33,0,0
2023,Sudeste,3,Minas Gerais,MG,31,Três Corações,3169307,0,Sul/Sudoeste de Minas,10,Varginha,50,2,2,5,0,0,FUNDACAO COMUNITARIA TRICORDIANA DE EDUCACAO,27,27,Centro Universitário UninCor,UninCor,Avenida Castelo Branco,82,-,Chacara das Rosas,37417150.0,125,1,1,1,1,7,16,11,31,9,29,9,7,1,1,1,0,1,1,1,1,0,1,93573,28861,184,170,78,92,0,0,41,90,39,33,0,33,63,74,13,22,26,36,26,18,18,11,111,6,51,1,0,1,170,0,0
2023,Sudeste,3,Minas Gerais,MG,31,Alfenas,3101607,0,Sul/Sudoeste de Minas,10,Alfenas,49,1,2,5,0,0,FUNDACAO DE ENSINO E TECNOLOGIA DE ALFENAS,30,30,UNIVERSIDADE PROFESSOR EDSON ANTÔNIO VELANO,UNIFENAS,Rod Rodovia MG-179,s/n,Campus Universitário,Loteamento Trevo,37132440.0,668,25,66,36,39,131,145,68,55,32,27,11,14,10,9,1,0,0,1,1,1,1,1,48038,13633,474,474,253,221,0,0,109,203,162,238,0,238,212,24,5,59,80,73,92,63,64,38,93,1,13,0,0,367,474,0,1
